"edad_rango","educacion","rol","anos_codigo","usa_Python","usa_R","salario_usd"
"30-34","Doctoral degree","Research Scientist","3-5 years",1,1,
"30-34","Doctoral degree","ML Engineer","3-5 years",1,0,96000
"22-24","Master's degree","Data Scientist","5-10 years",1,1,86000
"45-49","Professional degree","Data Analyst","3-5 years",1,1,45000
"45-49","Master's degree","Student","20+ years",1,0,
"30-34","Bachelor's degree","ML Engineer","1-2 years",0,0,
"35-39","Master's degree","Data Scientist","3-5 years",1,0,
"40-44","Bachelor's degree","Data Scientist","10-20 years",1,0,55000
"30-34","Master's degree","Software Engineer","1-2 years",1,0,78000
"50-54","Master's degree","Data Engineer","5-10 years",1,0,163000
"30-34","Doctoral degree","Data Scientist","5-10 years",1,1,106000
"25-29","Bachelor's degree","Data Scientist","5-10 years",1,0,61000
"18-21","Doctoral degree","Data Scientist","< 1 year",1,1,24000
"18-21","No formal education past high school","Data Analyst","1-2 years",0,0,1e+05
"22-24","Master's degree","Data Analyst","10-20 years",1,0,70000
"25-29","Master's degree","Data Scientist","3-5 years",1,1,81000
"30-34","Master's degree","Data Engineer","1-2 years",1,0,150000
"35-39","Master's degree","Data Analyst","10-20 years",1,0,
"30-34","Bachelor's degree","Data Analyst","1-2 years",1,0,80000
"25-29","Professional degree","Research Scientist","20+ years",0,1,32000
"30-34","Bachelor's degree","Research Scientist","10-20 years",1,0,44000
"22-24","Doctoral degree","Data Analyst","< 1 year",1,0,137000
"22-24","Bachelor's degree","Software Engineer","5-10 years",1,1,
"40-44","Professional degree","Data Scientist","5-10 years",1,0,132000
"25-29","Master's degree","Data Scientist","3-5 years",1,1,32000
"22-24","Master's degree","Other","3-5 years",1,1,
"25-29","Master's degree","Data Analyst","1-2 years",1,0,65000
"18-21","Master's degree","Statistician","5-10 years",1,1,19000
"22-24","Master's degree","Software Engineer","3-5 years",0,0,94000
"25-29","Bachelor's degree","Data Engineer","20+ years",1,0,
"18-21","Bachelor's degree","Software Engineer","< 1 year",1,0,91000
"30-34","Bachelor's degree","ML Engineer","1-2 years",1,0,73000
"22-24","Professional degree","Student","5-10 years",1,1,20000
"45-49","Bachelor's degree","Software Engineer","1-2 years",0,0,69000
"30-34","Doctoral degree","Data Scientist","1-2 years",1,0,84000
"25-29","Master's degree","Data Scientist","3-5 years",1,0,128000
"30-34","Master's degree","Research Scientist","3-5 years",1,1,138000
"22-24","Master's degree","Data Analyst","5-10 years",0,0,87000
"22-24","Master's degree","Research Scientist","3-5 years",0,1,65000
"25-29","Bachelor's degree","Data Engineer","3-5 years",1,0,43000
"25-29","Bachelor's degree","ML Engineer","20+ years",1,0,173000
"30-34","Bachelor's degree","Software Engineer","1-2 years",1,0,64000
"30-34","Some college/university study","ML Engineer","5-10 years",1,0,88000
"35-39","Master's degree","Data Analyst","1-2 years",0,0,45000
"35-39","Doctoral degree","Business Analyst","3-5 years",1,0,45000
"18-21","Doctoral degree","Data Scientist","20+ years",1,0,63000
"18-21","Master's degree","Business Analyst","1-2 years",1,0,65000
"22-24","Bachelor's degree","ML Engineer","10-20 years",1,0,
"30-34","Master's degree","Software Engineer","10-20 years",1,0,134000
"18-21","Bachelor's degree","Research Scientist","5-10 years",1,1,84000
"40-44","Doctoral degree","Student","5-10 years",1,0,
"22-24","Bachelor's degree","Student","5-10 years",1,0,5000
"18-21","Doctoral degree","Data Engineer","< 1 year",1,0,85000
"25-29","No formal education past high school","Software Engineer","5-10 years",1,0,48000
"35-39","Master's degree","ML Engineer","< 1 year",1,0,274000
"22-24","Some college/university study","Data Analyst","1-2 years",1,1,49000
"18-21","Bachelor's degree","Student","5-10 years",0,0,
"25-29","Doctoral degree","Software Engineer","1-2 years",0,0,82000
"40-44","Master's degree","Software Engineer","5-10 years",1,0,93000
"30-34","Bachelor's degree","Data Scientist","20+ years",1,1,58000
"45-49","Master's degree","Data Analyst","5-10 years",0,0,63000
"30-34","Bachelor's degree","Data Analyst","5-10 years",0,0,85000
"35-39","Some college/university study","Research Scientist","5-10 years",0,1,
"18-21","Doctoral degree","Research Scientist","10-20 years",0,1,127000
"30-34","Master's degree","Data Scientist","10-20 years",1,0,
"22-24","Master's degree","Research Scientist","5-10 years",1,0,51000
"18-21","Master's degree","Software Engineer","10-20 years",1,0,61000
"50-54","Bachelor's degree","Software Engineer","5-10 years",0,0,35000
"30-34","Bachelor's degree","Student","5-10 years",1,0,
"30-34","Master's degree","Data Analyst","3-5 years",1,0,79000
"40-44","Master's degree","Research Scientist","3-5 years",0,1,49000
